[2025-10-05 08:59:16.998384] Error scanning token ETHFI: 'NoneType' object has no attribute 'get'
[2025-10-11 15:03:48.408850] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23555239 to 23555255
[2025-10-11 15:12:33.828925] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23555256 to 23555298
[2025-10-11 15:32:50.539888] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23555299 to 23555399
[2025-10-11 15:52:33.267656] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23555457 to 23555496
[2025-10-11 16:21:31.121057] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23555497 to 23555639
[2025-10-11 16:27:11.088427] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23555640 to 23555667
[2025-10-11 16:41:56.928024] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23555668 to 23555741
[2025-10-11 16:50:47.823211] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23555742 to 23555784
[2025-10-11 17:00:10.435693] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23555785 to 23555831
[2025-10-11 17:11:45.710029] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23555832 to 23555888
[2025-10-11 18:31:22.433486] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23556272 to 23556282
[2025-10-12 04:11:40.705532] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23559070 to 23559170
[2025-10-12 06:59:14.233918] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23559856 to 23560004
[2025-10-12 07:16:06.542828] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23560005 to 23560088
[2025-10-12 07:59:59.744578] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23560089 to 23560306
[2025-10-12 08:56:26.698942] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23560307 to 23560588
[2025-10-12 09:54:19.181786] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23560589 to 23560876
[2025-10-12 14:55:46.596094] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23562038 to 23562373
[2025-10-12 15:35:34.902420] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23562374 to 23562571
[2025-10-12 15:44:40.423421] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23562572 to 23562617
[2025-10-12 16:28:41.725650] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23562618 to 23562836
[2025-10-12 17:02:54.369491] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23562837 to 23563007
[2025-10-12 17:16:58.556458] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23563008 to 23563078
[2025-10-12 17:17:29.595712] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23563079 to 23563080
[2025-10-12 17:38:26.421636] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23563081 to 23563184
[2025-10-13 14:43:09.414234] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23567995 to 23569456
[2025-10-13 14:55:19.678306] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23569457 to 23569516
[2025-10-13 15:56:49.977995] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23569791 to 23569822
[2025-10-13 17:48:36.079313] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23570006 to 23570371
[2025-10-13 17:54:11.690659] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23570372 to 23570397
[2025-10-13 18:13:31.417042] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23570398 to 23570493
[2025-10-13 18:19:25.286157] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23570494 to 23570522
[2025-10-13 19:21:27.048942] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23570523 to 23570831
[2025-10-14 13:25:02.448513] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23575035 to 23576221
[2025-10-14 14:50:58.407133] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23576222 to 23576644
[2025-10-14 15:30:54.749448] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23576645 to 23576839
[2025-10-14 16:32:46.493842] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23576840 to 23577146
[2025-10-14 17:20:06.506727] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23577147 to 23577382
[2025-10-14 19:10:58.873556] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23577799 to 23577933
[2025-10-14 19:14:09.558524] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23577934 to 23577948
[2025-10-15 15:07:30.041739] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23583769 to 23583874
[2025-10-15 15:38:48.969561] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23583875 to 23584031
[2025-10-15 15:40:37.133512] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23584032 to 23584039
[2025-10-15 19:22:49.323551] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23585131 to 23585142
[2025-10-16 11:13:34.857964] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23589031 to 23589847
[2025-10-16 17:47:36.329774] Token: ETHFI | Whale txs found: 1 | Blocks scanned: 23589848 to 23591801
[2025-10-17 14:49:11.265832] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23597039 to 23598079
[2025-10-18 10:45:36.058181] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23603095 to 23604023
[2025-10-18 15:20:40.548729] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23604024 to 23605381
[2025-10-18 15:32:37.303139] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23605382 to 23605441
[2025-10-18 17:04:17.625769] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23605892 to 23605897
[2025-10-18 17:40:24.373402] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23605898 to 23606078
[2025-10-18 17:47:11.524908] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23606079 to 23606110
[2025-10-18 18:13:57.440107] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23606111 to 23606242
[2025-10-18 18:22:29.690706] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23606243 to 23606285
[2025-10-18 18:40:20.680175] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23606286 to 23606375
[2025-10-18 18:54:24.786903] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23606376 to 23606445
[2025-10-19 05:29:53.169739] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23606455 to 23609598
[2025-10-19 11:50:49.775322] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23609999 to 23611495
[2025-10-22 17:28:16.354883] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23634365 to 23634545
[2025-10-23 15:28:33.005335] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23637987 to 23641092
[2025-10-23 18:04:09.971439] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23641093 to 23641861
[2025-10-24 17:07:18.545136] Token: ETHFI | Whale txs found: 3 | Blocks scanned: 23641862 to 23648706
[2025-10-25 04:36:08.115835] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23648707 to 23652126
[2025-10-25 06:31:55.232728] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23652127 to 23652702
[2025-10-25 06:59:43.852557] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23652703 to 23652838
[2025-10-25 07:24:52.005644] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23652839 to 23652964
[2025-10-25 09:00:08.526604] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23652965 to 23653434
[2025-10-25 09:45:15.053091] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23653435 to 23653658
[2025-10-25 09:51:58.192897] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23653659 to 23653692
[2025-10-25 10:19:33.552152] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23653693 to 23653829
[2025-10-26 04:22:59.730670] Token: ETHFI | Whale txs found: 1 | Blocks scanned: 23653830 to 23659221
[2025-10-26 10:58:40.930935] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23659222 to 23661183
