asset,date,AdrActCnt,BlkCnt,DiffMean,FeeTotUSD,HashRate,IssTotUSD,PriceUSD,TxCnt
btc,2009-06-09T00:00:00.000000000Z,91,91,1,,0.0000045236345362963,,,0
btc,2009-06-10T00:00:00.000000000Z,82,82,1,,0.00000407624210962963,,,0
btc,2009-06-11T00:00:00.000000000Z,89,89,1,,0.00000442421399703704,,,0
btc,2009-06-12T00:00:00.000000000Z,86,86,1,,0.00000427508318814815,,,0
btc,2009-06-13T00:00:00.000000000Z,78,78,1,,0.00000387740103111111,,,0
btc,2009-06-14T00:00:00.000000000Z,72,72,1,,0.00000357913941333333,,,0
btc,2009-06-15T00:00:00.000000000Z,84,84,1,,0.00000417566264888889,,,0
btc,2009-06-16T00:00:00.000000000Z,71,71,1,,0.0000035294291437037,,,0
btc,2009-06-17T00:00:00.000000000Z,79,79,1,,0.00000392711130074074,,,0
btc,2009-06-18T00:00:00.000000000Z,80,80,1,,0.00000397682157037037,,,0
btc,2009-06-19T00:00:00.000000000Z,87,87,1,,0.00000432479345777778,,,0
btc,2009-06-20T00:00:00.000000000Z,78,78,1,,0.00000387740103111111,,,0
btc,2009-06-21T00:00:00.000000000Z,81,81,1,,0.00000402653184,,,0
btc,2009-06-22T00:00:00.000000000Z,137,76,1,,0.00000377798049185185,,,1
btc,2009-06-23T00:00:00.000000000Z,76,76,1,,0.00000377798049185185,,,0
btc,2009-06-24T00:00:00.000000000Z,100,95,1,,0.00000472247561481481,,,2
btc,2009-06-25T00:00:00.000000000Z,89,68,1,,0.00000338029833481481,,,1
btc,2009-06-26T00:00:00.000000000Z,90,90,1,,0.00000447392426666667,,,0
btc,2009-06-27T00:00:00.000000000Z,84,84,1,,0.00000417566264888889,,,0
btc,2009-06-28T00:00:00.000000000Z,48,46,1,,0.00000228667240296296,,,1
btc,2009-06-29T00:00:00.000000000Z,87,83,1,,0.00000412595237925926,,,2
btc,2009-06-30T00:00:00.000000000Z,85,85,1,,0.00000422537291851852,,,0
btc,2009-07-01T00:00:00.000000000Z,77,74,1,,0.00000367855995259259,,,1
btc,2009-07-02T00:00:00.000000000Z,85,83,1,,0.00000412595237925926,,,1
btc,2009-07-03T00:00:00.000000000Z,82,82,1,,0.00000407624210962963,,,0
btc,2009-07-04T00:00:00.000000000Z,89,89,1,,0.00000442421399703704,,,0
btc,2009-07-05T00:00:00.000000000Z,79,79,1,,0.00000392711130074074,,,0
btc,2009-07-06T00:00:00.000000000Z,84,84,1,,0.00000417566264888889,,,0
btc,2009-07-07T00:00:00.000000000Z,69,69,1,,0.00000343000860444444,,,0
btc,2009-07-08T00:00:00.000000000Z,74,74,1,,0.00000367855995259259,,,0
btc,2009-07-09T00:00:00.000000000Z,86,86,1,,0.00000427508318814815,,,0
btc,2009-07-10T00:00:00.000000000Z,81,81,1,,0.00000402653184,,,0
btc,2009-07-11T00:00:00.000000000Z,83,83,1,,0.00000412595237925926,,,0
btc,2009-07-12T00:00:00.000000000Z,77,77,1,,0.00000382769076148148,,,0
btc,2009-07-13T00:00:00.000000000Z,78,78,1,,0.00000387740103111111,,,0
btc,2009-07-14T00:00:00.000000000Z,69,69,1,,0.00000343000860444444,,,0
btc,2009-07-15T00:00:00.000000000Z,45,45,1,,0.00000223696213333333,,,0
btc,2009-07-16T00:00:00.000000000Z,71,71,1,,0.0000035294291437037,,,0
btc,2009-07-17T00:00:00.000000000Z,47,47,1,,0.00000233638267259259,,,0
btc,2009-07-18T00:00:00.000000000Z,4,4,1,,0.000000198841078518518,,,0
