Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
4ConHgo5rc6SoUjaSBr7oEz7Cznxos4ZFDC8wvRDFYkedBMr8zoLdgQ22BeytLP9NsELciwayJQvSTJyeQAXUTsR,1759095369,2025-09-28T21:36:09.000Z,TRANSFER,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1217999761000,in,252044.6,9,SOL,1.0
4samikjEBonNPHAAf9J4Ui4caKHfU6GDqKnGULZw86BonvYyETdmAhsiSe8R9bwmtRBFU93NWrSFnYi5pwsjG4iW,1759095118,2025-09-28T21:31:58.000Z,TRANSFER,FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1143000000000,in,236524.66,9,SOL,1.0
4Mox8HjpYr3Efu2j5RnDYWQkTtN7pqE1g1TkHsSRWS6wDydQgiUUnbv28qG9yfmcfNj5bN69BrNQmeEa5u5UMzfK,1759093044,2025-09-28T20:57:24.000Z,TRANSFER,44P5Ct5JkPz76Rs2K6juC65zXMpFRDrHatxcASJ4Dyra,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,19577000000000,in,4052714.4,9,SOL,1.0
3btnoVjNTauyu9Q5PqyBQpYybuib9pVyUDGe4deH4YX77fZKTq6DKCE3mj8rQg7Uejj7i351aVkiRkGnQQeN6CcN,1759092544,2025-09-28T20:49:04.000Z,TRANSFER,MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,10068000000000,in,2086504.76,9,SOL,1.0
PWNVfH27JQ22g5MaHRvpTUU2q7JTqJxb2gbc1Dyctjd51MktVEHoq73GTMgQ4X2otLa3cj8X4Ydo2NN5T2gz2VL,1759091872,2025-09-28T20:37:52.000Z,TRANSFER,FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1031000000000,in,213952.58,9,SOL,1.0
28RUG8Ce7AmWeZ1m2fectB4FWtFzeGuvrKR9n1kGm3qwkGWDV6d1SgXR2FSSydTR8AW59YtYbJ9Y7cAnDUXbTqGu,1759091803,2025-09-28T20:36:43.000Z,TRANSFER,MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,15745000000000,in,3267190.27,9,SOL,1.0
2eLBbDjFHBGsREuR3jqhHrjPXGKf2cCnraSZ2yuLx8CMb3ApYGfEG9pVZuz4GThhk6WsAC26zsskEzMcQ89mFLcy,1759091575,2025-09-28T20:32:55.000Z,TRANSFER,MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,17269000000000,in,3583430.22,9,SOL,1.0
34hgrojXJ2nkqVtE51o3LCxD4Mpz68otDRA6Xi5bkfUeozaX2Dn4vzuvJTjWkk5k6MRrjtecxbVo2ExRtB7tQNj7,1759091572,2025-09-28T20:32:52.000Z,TRANSFER,3bwCjRXv4LASkv7DbLRJi7fDXgRRfEZhEstDVoZsjEHR,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,855000000000,in,177418.08,9,SOL,1.0
spWcPMEnmmvf5qHBPvb757TJZzc54eyfkb4qmeCEBP7UZzWNmqAiF1B3bMbynvZCDBFvk9MYQM657X8WVoQtDCp,1759091461,2025-09-28T20:31:01.000Z,TRANSFER,iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,2656992000000,in,551343.18,9,SOL,1.0
3ff39FgnwaJWLoQivwNQ3N6h3M574Knb3cPJqdpy1zWLrngu1KCbxAiHDDEQGuGmijDqcTNU1jXASrpD5GPdXPLv,1759091381,2025-09-28T20:29:41.000Z,TRANSFER,FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1263000000000,in,261728.57,9,SOL,1.0
